subdireccion,coordinacion,municipio_sede,ubicacion_sede,cp,coordenadas,inmuebles,personal_total,otras_coordinaciones,origen_sede
ATLACOMULCO,ATLACOMULCO,Atlacomulco,"CIRCUITO VIAL JORGE JIMENEZ CANTU SIN NUMERO, ESQUINA AV. INSURGENTES, COLONIA BONGONI, C.P. 50450 ATLACOMULCO, ESTADO DE MEXICO.",C.P. 50450,"19.8059167, -99.8708056",8,312,,declarada
JILOTEPEC,ATLACOMULCO,Jilotepec,"CARRETERA JILOTEPEC-IXTLAHUACA KILOMETRO 0+500, COLONIA LAS MANZANAS, C.P. 54240, MUNICIPIO DE JILOTEPEC, ESTADO DE MEXICO.",C.P. 54240,"19.9512189, -99.5493345",9,430,,declarada
IXTAPALUCA,CHALCO,Ixtapaluca,"CALLE LAZARO CARDENAS NUMERO 5 , COLONIA SANTA BARBARA, C.P. 56530, MUNICIPIO DE IXTAPALUCA, ESTADO DE MEXICO.",C.P. 56530,"19.3115719890147, -98.89944785496",7,291,,declarada
VOLCANES,CHALCO,Chalco,"CALLE SALITRERIA S/N, BARRIO SAN SEBASTIAN, C.P. 56600, MUNICIPIO DE CHALCO, ESTADO DE MEXICO.",C.P. 56600,"19.262229, -98.904202",16,935,,declarada
CIRCUITO EXTERIOR MEXIQUENSE,ECATEPEC,Nezahualcoyotl,"KILOMETRO 54+920 A UN COSTADO DE LA CASETA T-3 NABOR CARRILLO, DE LA VIALIDAD CIRCUITO EXTERIOR MEXIQUENSE, C.P. 57000, MUNICIPIO DE NEZAHUALCOYOTL, ESTADO DE MEXICO.",C.P. 57000,"19.434742, -98.998693",8,315,,declarada
ECATEPEC,ECATEPEC,Tecamac,"CALLE LAZARO CARDENAS S/N, ESQUINA CALLE ESMERALDA, COLONIA LOMAS DE TECAMAC, C.P. 55765, MUNICIPIO DE TECAMAC, ESTADO DE MEXICO.",C.P. 55765,"19.658319, -99.000795",13,863,,declarada
ZUMPANGO,ECATEPEC,Tonanitla,"AV. 16 DE SEPTIEMBRE S/N, COLONIA CENTRO, C.P. 55785, TONANITLA",C.P. 55785,"19.691635, -99.053741",10,395,,declarada
IXTAPAN,IXTAPAN,Ixtapan de La Sal,"BOULEVARD ARTURO SAN ROMAN, S/N, COLONIA IXTAPITA, C.P. 51900, MUNICIPIO DE IXTAPAN DE LA SAL, ESTADO DE MEXICO.",C.P. 51900,"18.845104, -99.681729",20,602,,declarada
SUR,IXTAPAN,Tejupilco,"AVENIDA CRISTOBAL HIDALGO, COLONIA LAS ROSAS, C.P. 51400, MUNICIPIO DE TEJUPILCO, ESTADO DE MEXICO.",C.P. 51400,"18°53'45.0""N, 100°08'42.0""W",9,100,,declarada
METROPOLITANA,METROPOLITANA,Tlalnepantla de Baz,"AVENIDA MIGUEL HIDALGO S/N, ESQUINA PROLONGACION RADIAL TOLTECAS, COLONIA LOS REYES IXTACALA, C.P. 54089, MUNICIPIO DE TLALNEPANTLA DE BAZ, ESTADO DE MEXICO.",C.P. 54089,"19.531628, -99.192008",21,800,,declarada
VALLE CUAUTITLAN,METROPOLITANA,Cuautitlan Izcalli,"AVENIDA JAMES WATT S/N, COLONIA PARQUE INDUSTRIAL CUAMATLA DISTRITO I-13, C.P. 54730, MUNICIPIO DE CUAUTITLAN IZCALLI, ESTADO DE MEXICO.",C.P. 54730,"19.659176, -99.192505",8,501,,declarada
ORIENTE,ORIENTE,La Paz,"CAMINO AL CERRO EL PINO, LOMAS DE SAN ISIDRO, C.P. 56516 MUNICIPIO LA PAZ, ESTADO DE MEXICO",C.P. 56516,"19.351768, -98.93782",11,845,,declarada
TEXCOCO,ORIENTE,Texcoco,"CALLE BENJAMIN ROBLES S/N COLONIA SAN MATEO, C.P. 56110, MUNICIPIO DE TEXCOCO, ESTADO DE MEXICO.",C.P. 56110,"19.5220303785342, -98.8848544711651",9,575,,declarada
VALLE DE BRAVO,VALLE DE BRAVO,Valle de Bravo,"AVENIDA FRAY GREGORIO JIMENEZ DE LA CUENCA, NO. 119, BARRIO DE SAN ANTONIO, C.P. 51200, MUNICIPIO DE VALLE DE BRAVO, ESTADO DE MEXICO.",C.P. 51200,"19203388, -100.134704",6,140,,declarada
VILLA VICTORIA,VALLE DE BRAVO,Villa Victoria,"CALLE GUADALUPE VICTORIA ESQUINA CALLE EL ENCINO, COLONIA CENTRO, C.P. 50690, MUNICIPIO DE VILLA VICTORIA, ESTADO DE MEXICO.",C.P. 50690,"19.442146, -99.994509",6,191,,declarada
SANTIAGO TIANGUISTENCO,VALLE TOLUCA,Tianguistenco,"CARRETERA SANTIAGO- CHALMA KILOMETRO 0+500, COLONIA IZCALLI, C.P. 52600, MUNICIPIO DE SANTIAGO TIANGUISTENCO, ESTADO DE MEXICO.",C.P. 52600,"19.16987, -99.46675",6,286,,declarada
VALLE TOLUCA,VALLE TOLUCA,Metepec,"AVENIDA JAGUEY, COLONIA LLANO GRANDE, MUNICIPIO DE METEPEC, ESTADO DE MEXICO",C.P. 52176,"19.257324, -99588980",14,796,,declarada
