municipio,coordinacion,subdireccion,bases_en_uso,despliegue_banda,sectores_desatendidos,sectores_saturados,dist_media_hd_base_km,indice_presion
TOLUCA,VALLE TOLUCA,VALLE TOLUCA,11,Amplio,21,8,3.59,10163.5
ECATEPEC,ECATEPEC,ECATEPEC,10,Amplio,6,16,1.92,4828.5
NAUCALPAN,METROPOLITANA,METROPOLITANA,7,Amplio,7,6,2.83,3822.2
ZUMPANGO,ECATEPEC,ZUMPANGO,1,Medio,9,0,5.95,2344.5
TLALNEPANTLA,METROPOLITANA,METROPOLITANA,8,Amplio,6,7,2.5,2165.3
TECAMAC,ECATEPEC,ECATEPEC,3,Amplio,9,1,2.8,2110.5
CUAUTITLAN IZCALLI,METROPOLITANA,VALLE CUAUTITLAN,4,Amplio,4,4,2.27,1918.6
TULTITLAN,METROPOLITANA,VALLE CUAUTITLAN,1,Reducido,5,3,2.18,1477.4
NICOLAS ROMERO,METROPOLITANA,VALLE CUAUTITLAN,2,Amplio,5,2,2.69,1354.7
CHALCO,CHALCO,VOLCANES,7,Amplio,4,6,2.31,1249.4
CHIMALHUACAN,ORIENTE,ORIENTE,3,Amplio,3,3,2.45,1188.0
IXTAPALUCA,CHALCO,IXTAPALUCA,7,Amplio,3,4,4.0,1151.5
TULTEPEC,ECATEPEC,CIRCUITO EXTERIOR MEXIQUENSE,1,Reducido,4,0,4.49,874.5
TEOLOYUCAN,METROPOLITANA,,0,Sin inmueble propio,6,2,2.94,841.5
LERMA,VALLE TOLUCA,,0,Sin inmueble propio,8,0,4.67,838.8
LA PAZ,ORIENTE,,1,Amplio,2,2,2.39,754.8
NEZAHUALCOYOTL,ORIENTE,ORIENTE,11,Amplio,1,4,1.43,726.3
TEXCOCO,ORIENTE,TEXCOCO,2,Amplio,6,2,2.56,721.6
VALLE DE CHALCO,CHALCO,IXTAPALUCA,1,Medio,2,4,1.87,700.0
ZINACANTEPEC,VALLE TOLUCA,VALLE TOLUCA,2,Amplio,5,1,4.2,682.6
METEPEC,VALLE TOLUCA,VALLE TOLUCA,3,Amplio,6,1,3.01,679.1
AXAPUSCO,ORIENTE,TEXCOCO,1,Medio,7,0,7.61,673.8
HUEHUETOCA,ECATEPEC,ZUMPANGO,3,Medio,3,1,3.53,579.8
ALMOLOYA,VALLE TOLUCA,VALLE TOLUCA,1,Medio,6,0,9.79,525.0
HUIXQUILUCAN,METROPOLITANA,METROPOLITANA,3,Amplio,4,1,3.02,494.9
CHICOLOAPAN,ORIENTE,,0,Sin inmueble propio,1,1,3.65,480.5
OCOYOACAC,VALLE TOLUCA,SANTIAGO TIANGUISTENCO,2,Medio,5,0,8.4,376.9
ATIZAPAN,METROPOLITANA,METROPOLITANA,5,Amplio,0,3,1.62,354.1
MALINALCO,IXTAPAN,IXTAPAN,2,Medio,3,0,6.25,350.0
TEMOAYA,VALLE TOLUCA,VALLE TOLUCA,1,Reducido,3,1,5.82,317.9
COYOTEPEC,ECATEPEC,ZUMPANGO,1,Reducido,1,0,3.07,289.4
ACOLMAN,ECATEPEC,ECATEPEC,2,Medio,1,2,1.22,287.1
CUAUTITLAN,METROPOLITANA,VALLE CUAUTITLAN,1,Amplio,3,1,5.37,262.4
POLOTITLAN,ATLACOMULCO,JILOTEPEC,1,Reducido,3,1,4.61,248.6
NEXTLALPAN,ECATEPEC,,0,Sin inmueble propio,3,0,4.14,231.5
COACALCO,ECATEPEC,ZUMPANGO,2,Amplio,0,1,2.39,209.3
OTUMBA,ORIENTE,TEXCOCO,1,Reducido,3,0,2.83,209.2
TEOTIHUACAN,ORIENTE,TEXCOCO,1,Medio,2,1,2.59,200.2
TEPOTZOTLAN,METROPOLITANA,VALLE CUAUTITLAN,1,Reducido,2,1,4.05,196.2
ATLACOMULCO,ATLACOMULCO,ATLACOMULCO,4,Amplio,2,0,3.75,194.7
TENANCINGO,IXTAPAN,IXTAPAN,3,Amplio,2,1,2.02,191.9
VILLA DEL CARBON,ATLACOMULCO,JILOTEPEC,1,Reducido,4,0,11.44,190.0
JIQUIPILCO,ATLACOMULCO,ATLACOMULCO,1,Reducido,3,0,8.42,188.1
SAN MATEO ATENCO,VALLE TOLUCA,SANTIAGO TIANGUISTENCO,1,Medio,1,1,,185.6
TENANGO DEL VALLE,IXTAPAN,IXTAPAN,5,Amplio,1,2,2.04,151.0
NOPALTEPEC,ORIENTE,,0,Sin inmueble propio,3,0,6.78,148.8
VALLE DE BRAVO,VALLE DE BRAVO,VALLE DE BRAVO,5,Amplio,2,0,3.65,137.7
TEPETLAOXTOC,ORIENTE,,0,Sin inmueble propio,2,0,7.08,131.2
TEMASCALCINGO,ATLACOMULCO,ATLACOMULCO,1,Reducido,2,0,3.71,118.5
TEMASCALAPA,ORIENTE,,0,Sin inmueble propio,2,0,16.31,112.5
VILLA GUERRERO,IXTAPAN,IXTAPAN,1,Reducido,2,0,3.42,111.3
ACAMBAY,ATLACOMULCO,JILOTEPEC,1,Medio,1,0,6.94,109.4
TIANGUISTENCO,VALLE TOLUCA,SANTIAGO TIANGUISTENCO,1,Amplio,2,0,,103.5
SAN MARTIN DE LAS PIRAMIDES,ORIENTE,TEXCOCO,1,Medio,1,0,2.07,94.8
XALATLACO,VALLE TOLUCA,SANTIAGO TIANGUISTENCO,1,Reducido,2,0,4.98,90.9
JALTENCO,ECATEPEC,ZUMPANGO,1,Reducido,0,0,3.34,88.1
SAN JOSE DEL RINCON,VALLE DE BRAVO,VILLA VICTORIA,1,Reducido,2,0,3.91,83.1
IXTLAHUACA,ATLACOMULCO,ATLACOMULCO,1,Medio,0,0,,79.5
ATENCO,ORIENTE,,0,Sin inmueble propio,1,0,2.76,78.2
TEZOYUCA,ORIENTE,TEXCOCO,1,Reducido,2,0,1.64,74.0
MELCHOR OCAMPO,ECATEPEC,,0,Sin inmueble propio,1,0,6.59,68.8
VILLA VICTORIA,VALLE DE BRAVO,VILLA VICTORIA,2,Medio,1,0,13.18,68.8
SAN ANTONIO LA ISLA,VALLE TOLUCA,,0,Sin inmueble propio,1,0,2.98,65.4
XONACATLAN,VALLE TOLUCA,,0,Sin inmueble propio,1,0,,61.9
OTZOLOTEPEC,VALLE TOLUCA,VALLE TOLUCA,1,Reducido,2,0,0.79,61.1
IXTAPAN DE LA SAL,IXTAPAN,IXTAPAN,4,Medio,1,0,4.47,60.9
TEJUPILCO,IXTAPAN,SUR,1,Reducido,1,0,29.54,59.4
HUEYPOXTLA,ECATEPEC,,0,Sin inmueble propio,1,0,18.51,56.2
ISIDRO FABELA,METROPOLITANA,VALLE CUAUTITLAN,1,Reducido,1,0,3.84,51.4
ACULCO,ATLACOMULCO,JILOTEPEC,1,Reducido,1,0,3.92,47.0
JUCHITEPEC,CHALCO,VOLCANES,1,Reducido,2,0,4.14,45.8
SOYANIQUILPAN,ATLACOMULCO,JILOTEPEC,1,Medio,1,0,5.14,45.7
CAPULHUAC,VALLE TOLUCA,,0,Sin inmueble propio,0,0,2.25,45.3
CHIAUTLA,ORIENTE,TEXCOCO,1,Medio,0,0,2.71,43.6
AMECAMECA,CHALCO,VOLCANES,2,Amplio,0,0,3.35,42.3
ATLAUTLA,CHALCO,VOLCANES,1,Medio,1,0,8.66,37.5
JILOTEPEC,ATLACOMULCO,JILOTEPEC,2,Amplio,0,0,,33.0
CALIMAYA,IXTAPAN,IXTAPAN,2,Medio,0,0,,31.5
IXTAPAN DEL ORO,VALLE DE BRAVO,,0,Sin inmueble propio,1,0,15.66,31.2
SAN FELIPE DEL PROGRESO,VALLE DE BRAVO,VILLA VICTORIA,1,Medio,0,0,,28.5
OCUILAN,IXTAPAN,IXTAPAN,1,Reducido,1,1,,24.4
TLALMANALCO,CHALCO,VOLCANES,1,Medio,0,0,,22.5
JOCOTITLAN,ATLACOMULCO,ATLACOMULCO,1,Reducido,0,0,,21.0
EL ORO,VALLE DE BRAVO,VILLA VICTORIA,1,Reducido,0,0,,19.5
APAXCO,ECATEPEC,ZUMPANGO,1,Reducido,0,0,2.48,19.4
JOQUICINGO,IXTAPAN,IXTAPAN,1,Medio,0,0,0.58,16.0
CHAPULTEPEC,VALLE TOLUCA,SANTIAGO TIANGUISTENCO,1,Reducido,0,0,,15.0
TIMILPAN,ATLACOMULCO,JILOTEPEC,1,Reducido,0,0,0.81,14.4
TONANITLA,ECATEPEC,ZUMPANGO,1,Amplio,0,0,0.58,13.7
MEXICALTZINGO,VALLE TOLUCA,SANTIAGO TIANGUISTENCO,1,Reducido,0,0,,13.5
TEQUIXQUIAC,ECATEPEC,,0,Sin inmueble propio,0,0,,12.0
MORELOS,ATLACOMULCO,ATLACOMULCO,1,Reducido,0,0,,12.0
COCOTITLAN,CHALCO,VOLCANES,1,Medio,1,0,,11.2
DONATO GUERRA,VALLE DE BRAVO,VILLA VICTORIA,1,Medio,0,0,,9.0
CHAPA DE MOTA,ATLACOMULCO,JILOTEPEC,1,Medio,0,0,,7.5
CHICONCUAC,ORIENTE,TEXCOCO,1,Reducido,0,0,,7.5
OZUMBA,CHALCO,VOLCANES,1,Medio,0,0,,6.0
RAYON,IXTAPAN,,0,Sin inmueble propio,0,0,,4.5
COATEPEC HARINAS,IXTAPAN,IXTAPAN,0,Sin inmueble propio,0,0,,4.5
VILLA DE ALLENDE,VALLE DE BRAVO,,0,Sin inmueble propio,0,0,,4.5
