folio,fecha,hora,municipio,coordinacion,incidente,nivel_revision,puntaje,num_indicadores,indicadores,accion_sugerida,latitud,longitud
ECA26072506441,2026-07-25,20:04:00,ACOLMAN,ECATEPEC,PERSONA TIRADA EN LA VIA PUBLICA CON HUELLAS DE VIOLENCIA,ALTA,105,5,"El propio catálogo C5 lo clasifica con huellas de violencia | La cabina registra arma de fuego, disparo o impacto | Participación de terceros referida por el reportante | Sangrado o lesiones visibles descritas | A menos de 1 km y ±6 h de otro reporte por arma de fuego",Solicitar carpeta a FGJEM y turnar a Criminalística para revisión de mecánica de hechos.,19.60543,-98.97174
TOL26072508570,2026-07-25,22:09:00,NAUCALPAN,METROPOLITANA,HOMICIDIO,ALTA,85,8,Participación de terceros referida por el reportante | Arma blanca o herida punzocortante referida | Sangrado o lesiones visibles descritas | Persona sin signos vitales al arribo | Hecho ocurrido en franja nocturna (22:00-06:00) | A menos de 1.5 km de un homicidio doloso corroborado de julio | A menos de 1 km y ±6 h de otro reporte por arma de fuego | Atención médica documentada con persona consciente,Solicitar carpeta a FGJEM y turnar a Criminalística para revisión de mecánica de hechos.,19.470055,-99.237545
ECA26072709061,2026-07-27,22:56:00,TLALNEPANTLA,METROPOLITANA,PERSONA TIRADA EN LA VIA PUBLICA CON HUELLAS DE VIOLENCIA,ALTA,85,5,El propio catálogo C5 lo clasifica con huellas de violencia | Sangrado o lesiones visibles descritas | Hecho ocurrido en franja nocturna (22:00-06:00) | A menos de 1.5 km de un homicidio doloso corroborado de julio | A menos de 1 km y ±6 h de otro reporte por arma de fuego,Solicitar carpeta a FGJEM y turnar a Criminalística para revisión de mecánica de hechos.,19.529765,-99.22266
TOL26072506555,2026-07-25,18:52:00,NAUCALPAN,METROPOLITANA,PERSONA TIRADA EN LA VIA PUBLICA CON HUELLAS DE VIOLENCIA,ALTA,80,4,El propio catálogo C5 lo clasifica con huellas de violencia | Sangrado o lesiones visibles descritas | A menos de 1.5 km de un homicidio doloso corroborado de julio | A menos de 1 km y ±6 h de otro reporte por arma de fuego,Solicitar carpeta a FGJEM y turnar a Criminalística para revisión de mecánica de hechos.,19.470055,-99.237545
ECA26072505767,2026-07-25,18:33:00,IXTAPALUCA,CHALCO,PERSONA TIRADA EN LA VIA PUBLICA CON HUELLAS DE VIOLENCIA,ALTA,65,3,El propio catálogo C5 lo clasifica con huellas de violencia | Sangrado o lesiones visibles descritas | A menos de 1.5 km de un homicidio doloso corroborado de julio,Solicitar carpeta a FGJEM y turnar a Criminalística para revisión de mecánica de hechos.,19.30354,-98.86469
ECA26072508203,2026-07-25,23:39:00,CHIMALHUACAN,ORIENTE,HOMICIDIO,ALTA,60,4,"La cabina registra arma de fuego, disparo o impacto | Sangrado o lesiones visibles descritas | Hecho ocurrido en franja nocturna (22:00-06:00) | A menos de 1 km y ±6 h de otro reporte por arma de fuego",Solicitar carpeta a FGJEM y turnar a Criminalística para revisión de mecánica de hechos.,19.41805,-98.93284
ECA26072606817,2026-07-26,17:09:00,NEXTLALPAN,SIN CATALOGAR,PERSONA NO LOCALIZADA O DESAPARECIDA,ALTA,60,3,"La cabina registra arma de fuego, disparo o impacto | Participación de terceros referida por el reportante | Antecedente de violencia de pareja o familiar en el propio reporte",Solicitar carpeta a FGJEM y turnar a Criminalística para revisión de mecánica de hechos.,19.704916,-99.071542
ECA26072700675,2026-07-27,02:19:00,TECAMAC,ECATEPEC,AMENAZA DE SUICIDIO,ALTA,55,4,Antecedente de violencia de pareja o familiar en el propio reporte | Arma blanca o herida punzocortante referida | Hecho ocurrido en franja nocturna (22:00-06:00) | A menos de 1.5 km de un homicidio doloso corroborado de julio,Solicitar carpeta a FGJEM y turnar a Criminalística para revisión de mecánica de hechos.,19.677495,-99.030985
TOL26072702143,2026-07-27,09:58:00,NAUCALPAN,METROPOLITANA,HOMICIDIO,ALTA,55,5,Indicios de traslado u ocultamiento del cuerpo | Persona sin signos vitales al arribo | A menos de 1.5 km de un homicidio doloso corroborado de julio | A menos de 1 km y ±6 h de otro reporte por arma de fuego | Atención médica documentada con persona consciente,Solicitar carpeta a FGJEM y turnar a Criminalística para revisión de mecánica de hechos.,19.444105,-99.255825
ECA26072507972,2026-07-25,23:09:00,ECATEPEC,ECATEPEC,PERSONA TIRADA EN LA VIA PUBLICA CON HUELLAS DE VIOLENCIA,ALTA,50,3,El propio catálogo C5 lo clasifica con huellas de violencia | Sangrado o lesiones visibles descritas | Hecho ocurrido en franja nocturna (22:00-06:00),Solicitar carpeta a FGJEM y turnar a Criminalística para revisión de mecánica de hechos.,19.512875,-99.048975
