id,fecha,hora,hora_num,franja,municipio,coordinacion,colonia,calle,latitud,longitud,victimas,sexo,movil,observaciones,dist_base_km,windows_maps_query
1,2026-01-02,,,sin dato,ECATEPEC,ECATEPEC,SAN ANDRES DE LA CAÑADA,CALLE OJO DE AGUA,19.56833,-99.09528,1,H,Ataque directo por venta de droga,IMPACTO DE ARMA DE FUEGO,5.09,"CALLE OJO DE AGUA, SAN ANDRES DE LA CANADA, ECATEPEC, Estado de México, México"
2,2026-01-02,,,sin dato,TECAMAC,ECATEPEC,MARGARITO F. AYALA,CALLE TEPETETERA ESQUINA CON CALLE ANGEL FRAGOSO,19.645851,-99.014364,1,H,Ataque directo por venta de droga,IMPACTO DE ARMA DE FUEGO,1.99,"CALLE TEPETETERA ESQUINA CON CALLE ANGEL FRAGOSO, MARGARITO F. AYALA, TECAMAC, Estado de México, México"
3,2026-01-02,,,sin dato,VILLA GUERRERO,IXTAPAN,SAN MATEO COAPEXCO,CALLE LIBERTAD ESQUINA CON CALLE VILLA GUERRERO,18.95057,-99.679218,1,H,Ataque Directo,IMPACTO DE ARMA DE FUEGO,4.14,"CALLE LIBERTAD ESQUINA CON CALLE VILLA GUERRERO, SAN MATEO COAPEXCO, VILLA GUERRERO, Estado de México, México"
4,2026-01-02,06:42:00,6,matutina (06-14),ISIDRO FABELA,METROPOLITANA,S/D,CARRETERA RANCHERIA PALOMAS (LOS TACHOS),19.5471239627985,-99.4891353549698,1,H,Se desconoce el Móvil de la Agresión,SIGNOS DE VIOLENCIA,7.55,"CARRETERA RANCHERIA PALOMAS (LOS TACHOS), S/D, ISIDRO FABELA, Estado de México, México"
5,2026-01-03,08:24:00,8,matutina (06-14),ATLACOMULCO,ATLACOMULCO,EL SALTO,CARRETERA ATOTONILCO-EL SALTO,19.817276,-99.802299,1,H,"fallecimiento por hipotermia, sin huellas de violencia",SIGNOS DE VIOLENCIA,4.56,"CARRETERA ATOTONILCO-EL SALTO, EL SALTO, ATLACOMULCO, Estado de México, México"
6,2026-01-03,17:34:00,17,vespertina (14-22),VALLE DE CHALCO,CHALCO,AVANDARO,CALLE MANGO ESQUINA FELIPE ANGELES,19.3035034814852,-98.932599382567,1,H,Ataque directo por venta de droga,IMPACTO DE ARMA DE FUEGO,2.15,"CALLE MANGO ESQUINA FELIPE ANGELES, AVANDARO, VALLE DE CHALCO, Estado de México, México"
7,2026-01-03,23:05:00,23,nocturna (22-06),ECATEPEC,ECATEPEC,VALLE DE ANAHUAC,CALLE GUADALUPE VICTORIA,19.518363465626,-99.0410629564982,1,H,Medio de intimidación y ajuste de cuentas,IMPACTO DE ARMA DE FUEGO,0.88,"CALLE GUADALUPE VICTORIA, VALLE DE ANAHUAC, ECATEPEC, Estado de México, México"
8,2026-01-04,09:30:00,9,matutina (06-14),CHICOLOAPAN,ORIENTE,EJIDOS DE CHICOLOAPAN,CARRETERA A CUAUTEPEC,19.405677,-98.88875,1,H,Posible ajuste de Cuentas entre grupos delictivos,IMPACTO DE ARMA DE FUEGO,4.31,"CARRETERA A CUAUTEPEC, EJIDOS DE CHICOLOAPAN, CHICOLOAPAN, Estado de México, México"
9,2026-01-04,13:21:00,13,matutina (06-14),CUAUTITLAN IZCALLI,METROPOLITANA,SANTA MARIA HUECATITLA,AV. NICOLAS BRAVO ESQUINA AVENIDA DEL TRABAJO,19.722008,-99.168526,1,H,Se desconoce el Móvil de la Agresión,IMPACTO DE ARMA DE FUEGO,4.64,"AVENIDA NICOLAS BRAVO ESQUINA AVENIDA DEL TRABAJO, SANTA MARIA HUECATITLA, CUAUTITLAN IZCALLI, Estado de México, México"
10,2026-01-05,04:10:00,4,nocturna (22-06),SAN JOSE DEL RINCON,VALLE DE BRAVO,SAN JOSE DEL RINCON,LA PUERTA SAN MIGUEL DEL CENTRO,19.6606443591366,-100.161412343612,1,H,Se desconoce el Móvil de la Agresión,IMPACTO DE ARMA DE FUEGO,3.91,"LA PUERTA SAN MIGUEL DEL CENTRO, SAN JOSE DEL RINCON, Estado de México, México"
11,2026-01-05,19:20:00,19,vespertina (14-22),IXTAPALUCA,CHALCO,GUADALUPANA,NORTE 1,19.3396739281752,-98.9100907471388,1,H,Se desconoce el Móvil de la Agresión,IMPACTO DE ARMA DE FUEGO,2.52,"NORTE 1, GUADALUPANA, IXTAPALUCA, Estado de México, México"
12,2026-01-05,20:00:00,20,vespertina (14-22),NICOLAS ROMERO,METROPOLITANA,SANTANITA CENTRO,EMILIANO ZAPATA,19.6109451246964,-99.3235256338868,1,H,Ataque directo,IMPACTO DE ARMA DE FUEGO,1.43,"EMILIANO ZAPATA, SANTANITA CENTRO, NICOLAS ROMERO, Estado de México, México"
13,2026-01-06,00:25:00,0,nocturna (22-06),VILLA GUERRERO,IXTAPAN,SAN JOSE LA ALTA,CALLE MORELOS,18.9609105558041,-99.6420021185594,1,H,Ataque Directo,IMPACTO DE ARMA DE FUEGO,0.85,"CALLE MORELOS, SAN JOSE LA ALTA, VILLA GUERRERO, Estado de México, México"
14,2026-01-06,11:45:00,11,matutina (06-14),COACALCO,ECATEPEC,SAN LORENZO TETLIXTAC,CALLE COLIMA ESQUINA CON JUAREZ,19.63814,-99.08552,1,H,Intento de robo de vehículo,IMPACTO DE ARMA DE FUEGO,2.28,"CALLE COLIMA ESQUINA CON JUAREZ, SAN LORENZO TETLIXTAC, COACALCO, Estado de México, México"
15,2026-01-06,13:00:00,13,matutina (06-14),ACOLMAN,ECATEPEC,SAN ISIDRO ATLAUTENCO,EJIDOS DE SAN ISIDRO TLAUTENCO,19.620368,-98.995802,1,H,SIN DATOS,ARMA BLANCA,0.55,"EJIDOS DE SAN ISIDRO TLAUTENCO, SAN ISIDRO ATLAUTENCO, ACOLMAN, Estado de México, México"
16,2026-01-06,15:00:00,15,vespertina (14-22),HUIXQUILUCAN,METROPOLITANA,MARQUESA,CARRETERA HUIXQUILUCAN-MARQUESA,19.3050126339273,-99.3694179688911,1,H,Sin datos,MANIATADO,8.07,"CARRETERA HUIXQUILUCAN-MARQUESA, MARQUESA, HUIXQUILUCAN, Estado de México, México"
17,2026-01-07,00:45:00,0,nocturna (22-06),IXTAPALUCA,CHALCO,LOS HEROES,SEGUNDA CERRADA DE AQUILES SERDAN,19.3323317385469,-98.8751187405535,1,H,ROBO,IMPACTO DE ARMA DE FUEGO,2.97,"SEGUNDA CERRADA DE AQUILES SERDAN, LOS HEROES, IXTAPALUCA, Estado de México, México"
18,2026-01-07,13:20:00,13,matutina (06-14),ZUMPANGO,ECATEPEC,SAN SEBASTIAN,FRACC. JARDINES DE BUGAMBILIA BARRIO SAN SEBASTIAN,19.7607319284912,-99.0631593808814,1,H,SIN DATOS,ARMA BLANCA,7.68,"FRACC. JARDINES DE BUGAMBILIA BARRIO SAN SEBASTIAN, SAN SEBASTIAN, ZUMPANGO, Estado de México, México"
