folio,fecha,hora,hora_num,franja,municipio,coordinacion,incidente,familia,peso_violencia,latitud,longitud,geo_confianza
TOL26072300511,2026-07-23,03:16:00,3,nocturna (22-06),TIANGUISTENCO,VALLE TOLUCA,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.16211,-99.457979,COORDENADA
TOL26072300531,2026-07-23,03:30:00,3,nocturna (22-06),RAYON,IXTAPAN,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.124103,-99.576091,COORDENADA
TOL26072300543,2026-07-23,03:38:00,3,nocturna (22-06),JIQUIPILCO,ATLACOMULCO,PERSONA AGRESIVA,rina,1.5,19.546046,-99.614366,COORDENADA
TOL26072300572,2026-07-23,03:55:00,3,nocturna (22-06),TOLUCA,VALLE TOLUCA,PERSONA LESIONADA POR PROYECTIL DE ARMA DE FUEGO,arma_fuego,6.0,19.345295,-99.6031,COORDENADA
TOL26072300676,2026-07-23,05:22:00,5,nocturna (22-06),NAUCALPAN,METROPOLITANA,PERSONA NO LOCALIZADA O DESAPARECIDA,desaparicion,3.0,19.45592,-99.218165,COORDENADA
TOL26072300703,2026-07-23,05:46:00,5,nocturna (22-06),LERMA,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,19.305575,-99.45961,COORDENADA
TOL26072300769,2026-07-23,06:17:00,6,matutina (06-14),LERMA,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,19.28653,-99.51929,COORDENADA
TOL26072300828,2026-07-23,06:43:00,6,matutina (06-14),NAUCALPAN,METROPOLITANA,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.46413,-99.25047,COORDENADA
TOL26072300899,2026-07-23,07:08:00,7,matutina (06-14),NAUCALPAN,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.48828,-99.23096,COORDENADA
TOL26072300901,2026-07-23,07:09:00,7,matutina (06-14),NAUCALPAN,METROPOLITANA,ROBO A NEGOCIO CON VIOLENCIA,robo_violento,2.0,19.425784,-99.231348,COORDENADA
TOL26072300944,2026-07-23,07:22:00,7,matutina (06-14),METEPEC,VALLE TOLUCA,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.23157,-99.555405,COORDENADA
TOL26072301001,2026-07-23,07:35:00,7,matutina (06-14),METEPEC,VALLE TOLUCA,RIÑA,rina,1.5,19.223683,-99.554679,COORDENADA
TOL26072301021,2026-07-23,07:42:00,7,matutina (06-14),METEPEC,VALLE TOLUCA,PORTACION DE ARMA BLANCA,arma_blanca,2.0,19.22587,-99.55629,COORDENADA
TOL26072301155,2026-07-23,08:16:00,8,matutina (06-14),TENANGO DEL VALLE,IXTAPAN,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.110012,-99.653037,COORDENADA
TOL26072301179,2026-07-23,08:17:00,8,matutina (06-14),VILLA GUERRERO,IXTAPAN,PORTACION DE ARMAS DE FUEGO O CARTUCHOS,arma_fuego,3.0,18.937217,-99.70533,COORDENADA
TOL26072301254,2026-07-23,08:28:00,8,matutina (06-14),NAUCALPAN,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.47251,-99.23461,COORDENADA
TOL26072301297,2026-07-23,08:34:00,8,matutina (06-14),LERMA,VALLE TOLUCA,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.295685,-99.52536,COORDENADA
TOL26072301415,2026-07-23,08:54:00,8,matutina (06-14),IXTLAHUACA,ATLACOMULCO,ROBO DE VEHICULO PARTICULAR CON VIOLENCIA,robo_violento,2.0,19.567788,-99.761566,COORDENADA
TOL26072301547,2026-07-23,09:14:00,9,matutina (06-14),NAUCALPAN,METROPOLITANA,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.43899,-99.26895,COORDENADA
TOL26072301643,2026-07-23,09:26:00,9,matutina (06-14),OCOYOACAC,VALLE TOLUCA,PERSONA LESIONADA POR PROYECTIL DE ARMA DE FUEGO,arma_fuego,6.0,19.24479,-99.392975,COORDENADA
TOL26072301651,2026-07-23,09:27:00,9,matutina (06-14),VILLA DEL CARBON,ATLACOMULCO,VIOLENCIA FAMILIAR,violencia_genero,2.0,19.729502,-99.474374,COORDENADA
TOL26072302030,2026-07-23,10:27:00,10,matutina (06-14),METEPEC,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.27211,-99.62571,COORDENADA
TOL26072302112,2026-07-23,10:41:00,10,matutina (06-14),XONACATLAN,VALLE TOLUCA,SUICIDIO,deceso_dudoso,3.0,19.40462,-99.53688,COORDENADA
TOL26072302116,2026-07-23,10:41:00,10,matutina (06-14),TOLUCA,VALLE TOLUCA,ROBO A TRANSEUNTE CON VIOLENCIA,robo_violento,2.0,19.36417,-99.673265,COORDENADA
TOL26072302172,2026-07-23,10:49:00,10,matutina (06-14),METEPEC,VALLE TOLUCA,RIÑA,rina,1.5,19.27028,-99.602585,COORDENADA
TOL26072302196,2026-07-23,10:52:00,10,matutina (06-14),NAUCALPAN,METROPOLITANA,PORTACION DE ARMAS DE FUEGO O CARTUCHOS,arma_fuego,3.0,,,ALTA
TOL26072302299,2026-07-23,11:07:00,11,matutina (06-14),TOLUCA,VALLE TOLUCA,VIOLENCIA DE PAREJA,violencia_genero,2.0,19.228545,-99.677625,COORDENADA
TOL26072302315,2026-07-23,11:10:00,11,matutina (06-14),TOLUCA,VALLE TOLUCA,PERSONA NO LOCALIZADA O DESAPARECIDA,desaparicion,3.0,19.28823,-99.65564,COORDENADA
