sector_id,ranking,municipio,coordinacion,colonias,clasificacion,latitud,longitud,indice_ceguera,indice_violencia,eventos_hd,llamadas_violentas,dist_base_km,personal_3km,limitrofe,diagnostico
SEC-972_-4964,1,NAUCALPAN,METROPOLITANA,"VALLE DORADO, LOMAS DE CHAMAPA, SAN LORENZO TOTOLINGA PRIMERA SECCIÓN",MIXTO,19.45,-99.27,395.5,191.5,6,62,2.79,24,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-972_-4965,2,NAUCALPAN,METROPOLITANA,"OLIMPIADA 68, EL COYOTE",DESATENDIDO,19.45,-99.29,336.2,102.0,3,32,4.59,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-984_-4957,3,TULTEPEC,ECATEPEC,"AMPLIACIÓN LA PIEDAD, EL MIRADOR, LA CANTERA",DESATENDIDO,19.69,-99.13,326.0,90.5,6,10,5.21,0,Sí,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-988_-4962,4,TEOLOYUCAN,METROPOLITANA,"SANTA CRUZ DEL MONTE, SANTIAGO, SEGUNDA SECCIÓN DEL BARRIO DE SANTIAGO",DESATENDIDO,19.77,-99.23,320.1,111.5,8,5,3.74,0,Sí,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-973_-4964,5,NAUCALPAN,METROPOLITANA,"PASEOS DE LOS BOSQUES, LOS REMEDIOS",DESATENDIDO,19.47,-99.27,317.3,118.5,2,38,3.36,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-983_-4963,6,CUAUTITLAN IZCALLI,METROPOLITANA,"VILLA DE SAN PABLO EJIDO HUILANGO, LA PIEDAD, SAN PABLO DE LOS GALLOS",DESATENDIDO,19.67,-99.25,297.4,100.5,5,23,3.92,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-972_-4963,7,NAUCALPAN,METROPOLITANA,"SAN JOSE DE LOS LEONES SEGUNDA SECCIÓN, HIDALGO, LA SOLEDAD EL CAPULIN",MIXTO,19.45,-99.25,287.4,213.0,4,69,1.81,62,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-970_-4945,8,CHICOLOAPAN,ORIENTE,"EJIDOS DE CHICOLOAPAN, REAL DE COSTITLAN, AMPLIACIÓN SANTA ROSA",DESATENDIDO,19.41,-98.89,276.3,95.0,7,13,3.82,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-968_-4984,9,TOLUCA,VALLE TOLUCA,,DESATENDIDO,19.37,-99.67,240.0,60.0,0,30,6.48,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-978_-4954,10,ECATEPEC,ECATEPEC,"PRIZO II, TEXALPA, TULPETLAC",DESATENDIDO,19.57,-99.07,225.0,89.0,6,14,3.06,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-967_-4983,11,TOLUCA,VALLE TOLUCA,,DESATENDIDO,19.35,-99.65,221.0,72.0,0,34,4.14,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-963_-4948,12,VALLE DE CHALCO,CHALCO,SAN MIGUEL XICO,DESATENDIDO,19.27,-98.95,205.9,82.0,1,32,3.02,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-965_-4979,13,TOLUCA,VALLE TOLUCA,,DESATENDIDO,19.31,-99.57,204.7,65.5,0,30,4.25,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-967_-4949,14,LA PAZ,ORIENTE,"LOS REYES ACAQUILPAN CENTRO, EMILIANO ZAPATA, TECAMACHALCO",MIXTO,19.35,-98.97,203.0,125.0,5,29,2.87,75,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-978_-4955,15,ECATEPEC,ECATEPEC,"SAN ANDRES DE LA CAÑADA, GUADALUPE VICTORIA, SAN ANDRÉS DE LA CAÑADA",DESATENDIDO,19.57,-99.09,198.9,59.5,3,10,4.68,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
